"名前","ロマジ　名前","選手id","打","投","生年月日","生年"
"島本 義文","Yoshifumi Shimamoto","16107","しまもと　よしふみ","R","R","10/12/1911","1911"
"島本 浩也","Hiroya Shimamoto","12960","しまもと ひろや","L","L","2/14/1993","1993"
"島本 講平","Kohei Shimamoto","9517","しまもと こうへい","L","L","11/1/1952","1952"
"島本 和夫","Kazuo Shimamoto","15141","","R","R","12/6/1930","1930"
"島野 育夫","Ikuo Shimano","213","しまの　いくお","R","R","3/30/1944","1944"
"島野 雅亘","Masanobu Shimano","13923","しまの まさのぶ","R","R","1/2/1940","1940"
"島野 修","Osamu Shimano","13607","しまの おさむ","R","R","6/2/1950","1950"
"島脇 信也","Shinya Shimawaki","11596","しまわき　しんや","L","L","5/12/1983","1983"
"嶋 基宏","Motohiro Shima","12211","しま　もとひろ","R","R","12/13/1984","1984"
"嶋 重宣","Shigenobu Shima","10433","しま　しげのぶ","L","L","6/16/1976","1976"
"嶋田 宗彦","Munehiko Shimada","12639","しまだ むねひこ","R","R","2/17/1962","1962"
"嶋田 章弘","Akihiro Shimada","10436","しまだ あきひろ","L","R","6/27/1966","1966"
"嶋田 信敏","Nobutoshi Shimada","9926","しまだ　のぶとし","R","R","4/9/1960","1960"
"嶋田 哲也","Tetsuya Shimata","10439","","R","R","5/13/1967","1967"
"嶋尾 康史","Yasuhito Shimao","10434","しまお　やすひと","R","R","5/6/1968","1968"
"東 郷幸","Satoyuki Azuma","14278","あずま　さとゆき","R","R","9/8/1935","1935"
"東 弘明","Hiroaki Azuma","15808","","R","R","2/20/1992","1992"
"東 実","Minoru Azuma","14203","","L","L","7/17/1934","1934"
"東 政敏","Masatoshi Higashi","10732","","R","R","4/29/1974","1974"
"東 辰弥","Tatsuya Azuma","11628","あずま　たつや","R","R","4/25/1979","1979"
"東 哲也","Tetsuya Azuma","12661","あずま　てつや","R","R","7/7/1965","1965"
"東 和政","Kazumasa Azuma","11482","あずま　かずまさ","R","R","6/1/1982","1982"
"東口 清美","Kiyomi Higashiguchi","15151","ひがしぐち　きよみ","R","R","10/26/1923","1923"
"東山 親雄","Chikao Higashiyama","13845","ひがしやま　ちかお","R","R","5/15/1943","1943"
"東出 輝裕","Akihiro Higashide","11231","ひがしで　あきひろ","L","R","8/21/1980","1980"
"東条 文博","Fumihiro Tojyo","13612","とうじょう ふみひろ","R","R","7/12/1944","1944"
"東新 昇","Noboru Toshin","14180","とうしん のぼる","R","R","9/2/1949","1949"
"東瀬 耕太郎","Kotaro Azuse","10017","あずせ　こうたろう","L","L","5/6/1967","1967"
"東泉 東二","Doji Tosen","15158","とうせん　どうじ","R","R","4/22/1932","1932"
"東谷 夏樹","Natsuki Higashitani","14319","","L","L","7/13/1930","1930"
"東田 正義","Masayoshi Higashida","13857","","R","R","8/1/1945","1945"
"東田 巍","Takashi Higashida","14581","ひがしだ　たかし","R","R","6/12/1938","1938"
"東尾 修","Osamu Higashio","54","ひがしお　おさむ","R","R","5/18/1950","1950"
"東浜 巨","Nao Higashihama","15502","ひがしはま・なお","R","R","6/20/1990","1990"
"東方 伸友","Shinsuke Tobo","15796","","R","R","9/17/1995","1995"
"東本 之雄","Yukio Tomoto","14450","とうもと　ゆきお","R","R","10/10/1938","1938"
"東明 大貴","Daiki Tomei","15800","","R","R","6/15/1989","1989"
"東野 峻","Shun Tono","11932","とうの しゅん","R","R","7/11/1986","1986"
"東野 真弓","Mayumi Tono","596","とうの　まゆみ","R","R","10/10/1929","1929"
"桃井 進","Susumu Momoi","9545","ももい すすむ","R","R","8/18/1959","1959"
"棟居 進","Susumu Munesue","14528","むねすえ　すすむ","R","R","11/2/1932","1932"
"湯舟 敏郎","Toshiro Yufune","10992","ゆふね","L","L","10/8/1966","1966"
"湯上谷 宏","Hiroshi Yugamidani","10991","ゆがみだに　ひろし","R","R","5/3/1966","1966"
"湯浅 禎夫","Sadao Yuasa","496","ゆあさ　さだお","R","R","10/2/1902","1902"
"湯浅 芳彰","Yoshiaki Yuasa","625","","R","R","6/30/1919","1919"
"当銀 秀崇","Hidetaka Togin","13283","とうぎん ひでたか","L","R","2/1/1946","1946"
"筒井 敬三","Keizo Tsutsui","14315","","R","R","1/1/1923","1923"
"筒井 孝","Takashi Tsutsui","12571","","R","R","1/25/1969","1969"
"筒井 修","Osamu Tsutsui","16211","つつい　おさむ","R","R","10/12/1917","1917"
"筒井 真次","Shinji Tsutsui","14809","","R","R","11/23/1935","1935"
"筒井 正也","Masaya Tsutsui","11591","つつい　まさや","R","R","4/11/1976","1976"
"筒井 壮","So Tsutsui","10583","つつい　そう","R","R","11/1/1974","1974"
"筒井 良紀","Noriyoshi Tsutsui","14187","つつい よしのり","R","R","3/20/1955","1955"
"筒井 良武","Yoshitake Tsutsui","16175","つつい　よしたけ","R","R","05/27/1916","1916"
"筒井 和也","Kazuya Tsutsui","11805","つつい　かずや","R","L","10/5/1981","1981"
"筒香 嘉智","Yoshitomo Tsutsugo","12865","つつごう　よしとも","B","R","11/26/1991","1991"
"藤井 栄治","Eiji Fujii","38","ふじい えいじ","L","R","2/1/1940","1940"
"藤井 宏海","Hiromi Fujii","11841","","R","R","11/20/1985","1985"
"藤井 宏政","Kosei Fujii","12757","ふじい・こうせい","R","R","5/18/1990","1990"
"藤井 康雄","Yasuo Fujii","10771","ふじい　やすお","L","R","7/7/1962","1962"
"藤井 弘","Hiromu Fujii","13546","ふじい ひろむ","R","R","9/29/1935","1935"
"藤井 秀悟","Shugo Fujii","11332","ふじい　しゅうご","L","L","5/12/1977","1977"
"藤井 淳志","Atsushi Fujii","12073","ふじい　あつし","B","R","5/20/1981","1981"
"藤井 将雄","Masao Fujii","10769","","R","R","10/16/1968","1968"
"藤井 彰人","Akihito Fujii","11265","ふじい　あきひと","R","R","6/18/1976","1976"
"藤井 信行","Nobuyuki Fujii","13451","ふじい のぶゆき","R","R","1/20/1949","1949"
"藤井 清一郎","Seiichiro Fujii","15078","ふじい　せいいちろう","L","L","9/17/1931","1931"
"藤井 道夫","Michio Fujii","14825","","R","R","7/24/1922","1922"
"藤井 優志","Masashi Fujii","10770","ふじい　まさし","R","R","1/14/1974","1974"
"藤井 勇","Isamu Fujii","458","ふじい　いさむ","L","L","10/20/1916","1916"
"藤井 翼","Tsubasa Fujii","12390","ふじい・つばさ","L","R","2/23/1990","1990"
"藤井 亮太","Ryota Fujii","15728","ふじい　りょうた","L","R","9/30/1988","1988"
"藤井 皓哉","Koya Fujii","15850","","L","R","7/29/1996","1996"
"藤王 康晴","Yasuharu Fujio","475","ふじおう　やすはる","L","R","4/13/1965","1965"
"藤岡 寛生","Hiroki Fujioka","10772","ふじおか ひろき","R","R","10/18/1966","1966"
"藤岡 貴裕","Takahiro Fujioka","15328","ふじおか　たかひろ","L","L","7/17/1989","1989"
"藤岡 好明","Yoshiaki Fujioka","12068","ふじおか　よしあき","R","R","3/12/1985","1985"
"藤岡 貞明","Sadaaki Fujioka","13149","ふじおか さだあき","R","R","6/24/1955","1955"
"藤吉 優","Masaru Fujiyoshi","15873","","L","R","8/7/1996","1996"
"藤原 紘通","Hiromichi Fujiwara","12710","ふじわら　ひろみち","L","L","1/15/1985","1985"
"藤原 真","Makoto Fujiwara","13392","ふじわら まこと","R","R","5/15/1945","1945"
"藤原 仁","Hitoshi Fujiwara","9684","ふじわら　ひとし","L","L","3/2/1956","1956"
"藤原 正典","Masanori Fujiwara","12854","ふじはら　まさのり","L","L","1/14/1988","1988"
"藤原 清景","Kiyokage Fujiwara","9997","","R","R","6/20/1969","1969"
"藤原 通","Toru Fujiwara","11625","ふじわら　とおる","R","R","6/18/1979","1979"
"藤原 鉄之助","Tetsunosuke Fujiwara","15019","","R","R","10/7/1924","1924"
"藤原 虹気","Koki Fujiwara","11959","ふじわら こうき","R","R","6/6/1986","1986"
"藤原 保行","Yasuyuki Fujiwara","9512","ふじはら やすゆき","R","R","10/18/1957","1957"
"藤原 満","Mitsuru Fujiwara","46","ふじわら　みつる","R","R","9/18/1946","1946"
"藤原 利美","Toshimi Fujiwara","564","","R","R","2/9/1930","1930"
"藤原 良平","Ryohei Fujiwara","12442","ふじわら・りょうへい","R","R","2/15/1986","1986"
"藤戸 逸郎","Itsuro Fujito","16045","ふじと　いつろう","R","R","","1920"
"藤江 均","Hitoshi Fujie","12687","ふじえ　ひとし","R","R","1/27/1986","1986"
"藤江 清志","Kiyoshi Fujie","15108","","R","R","2/13/1931","1931"
"藤崎 大輔","Daisuke Fujisaki","11366","ふじさき　だいすけ","R","R","9/29/1981","1981"
"藤崎 靖彦","Yasuhiko Fujisaki","12525","","R","R","7/11/1968","1968"
"藤枝 慎治","Shinji Fujieda","9636","ふじえだ　しんじ","R","R","8/19/1965","1965"
"藤重 登","Noboru Fujishige","14288","","R","R","9/18/1930","1930"
"藤城 和明","Kazuaki Fujishiro","9463","ふじしろ かずあき","R","R","4/5/1956","1956"
"藤瀬 史朗","Shiro Fujise","13100","ふじせ しろう","R","R","7/2/1953","1953"
"藤川 球児","Kyuji Fujikawa","11239","ふじかわ　きゅうじ","L","R","7/21/1980","1980"
"藤川 俊介","Shunsuke Fujikawa","12857","ふじかわ　しゅんすけ","R","R","8/17/1987","1987"
"藤川 哲郎","Tetsuro Fujikawa","15060","ふじかわ　てつろう","R","R","12/9/1933","1933"
"藤倉 多祐","Kazumasa Fujikura","9635","ふじくら　かずまさ","R","R","8/31/1957","1957"
"藤村 雅人","Masato Fujimura","9564","ふじむら　まさと","R","R","4/5/1961","1961"
"藤村 宣人"," ","14673","","B","R","8/25/1970","1970"
"藤村 大介","Daisuke Fujimura","12417","ふじむら・だいすけ","L","R","7/25/1989","1989"
"藤村 富美男","Fumio Fujimura","41","ふじむら　ふじお","R","R","8/14/1916","1916"
"藤村 隆男","Takao Fujimura","14788","","R","R","10/5/1921","1921"
"藤沢 公也","Kimiya Fujisawa","313","ふじさわ　きみや","R","R","11/29/1951","1951"
"藤沢 哲也","Tetsuya Fujisawa","13444","ふじさわ てつや","L","L","8/3/1953","1953"
"藤谷 周平","Shohei Fujiya","13023","ふじや しゅうへい","R","R","8/12/1987","1987"
"藤田 一也","Kazuya Fujita","11904","ふじた　かずや","L","R","7/3/1982","1982"
"藤田 学","Manabu Fujita","308","ふじた　まなぶ","R","R","5/9/1955","1955"
"藤田 訓弘","Nobuhiro Fujita","13655","ふじた のぶひろ","R","R","2/26/1947","1947"
"藤田 元司","Motoshi Fujita","44","ふじた　もとし","R","R","8/7/1931","1931"
"藤田 浩雅","Hiromasa Fujita","10774","ふじた　ひろまさ","R","R","10/3/1961","1961"
"藤田 宗一","Soichi Fujita","11147","ふじた　そういち","L","L","10/17/1972","1972"
"藤田 宗一","Soichi Fujita","15129","","R","R","8/20/1914","1914"
"藤田 省三","Shozo Fujita","15579","ふじた しょうぞう","NA","NA","",""
"藤田 正大","Masahiro Fujita","14689","","R","R","6/10/1972","1972"
"藤田 正大","Masahiro Fujita","15973","","NA","NA","",""
"藤田 太陽","Taiyo Fujita","11500","ふじた　たいようだ","R","R","11/1/1979","1979"
"藤田 辰雄","Tatsuo Fujita","15113","","L","R","5/24/1931","1931"
"藤田 平","Taira Fujita","45","ふじた　たいら","L","R","10/19/1947","1947"
"藤島 誠剛","Seigo Fujishima","10773","ふじしま　せいごう","R","R","10/3/1969","1969"
"藤道 昭和","Akikazu Fujimichi","15182","ふじみち　あきかず","R","R","12/11/1930","1930"
"藤波 行雄","Fujinami Yukio","306","ふじなみ　ゆきお","L","L","4/26/1951","1951"
"藤尾 茂","Shigeru Fujio","42","ふじお　しげる","R","R","10/28/1934","1934"
"藤本 英雄","Hideo Fujimoto","331","","R","R","5/18/1918","1918"
"藤本 健作","Kensaku Fujimoto","14455","ふじもと　けんさく","R","R","7/11/1940","1940"
"藤本 健治","Kenji Fujimoto","12645","ふじもと けんじ","R","R","6/12/1966","1966"
"藤本 修二","Shuji Fujimoto","10777","ふじもと しゅうじ","L","R","7/22/1964","1964"
"藤本 俊彦","Toshihiko Fujimoto","12592","","B","R","5/1/1971","1971"
"藤本 勝巳","Katsumi Fujimoto","40","ふじもと　かつみ","R","R","8/8/1937","1937"
"藤本 昌治","Masaharu Fujimoto","13148","ふじもと まさはる","R","R","1/18/1953","1953"
"藤本 伸","Shin Fujimoto","14345","","R","R","3/31/1938","1938"
"藤本 正一","Shoichi Fujimoto","14804","ふじもと　しょういち","R","R","4/11/1938","1938"
"藤本 定義","Sadayoshi Fujimoto","15576","ふじもと さだよし","NA","NA","12/20/1904","1904"
"藤本 敦士","Atsushi Fujimoto","11506","ふじもと　あつし","L","R","10/4/1977","1977"
"藤本 博史","Hiroshi Fujimoto","10779","ふじもと　ひろし","R","R","11/8/1963","1963"
"藤本 博史"," ","15305","","L","R","5/10/1976","1976"
"藤本 茂喜","Shigeki Fujimoto","9610","ふじもと　しげき","R","R","10/7/1964","1964"
"藤本 雄司","Yuji Fujimoto","9579","ふじもと　ゆうじ","R","R","10/4/1963","1963"
"藤本 和宏","Kazuhiro Fujimoto","13442","ふじもと かずひろ","L","L","11/28/1947","1947"
"藤野 光久","Mitsuhisa Fujino","15028","","R","R","2/20/1925","1925"
"藤野 正剛","Seigo Fujino","9855","ふじの　せいごう","R","R","4/29/1963","1963"
"藤野 文三郎","Fumisaburo Fujino","16346","ふじの　ふみさぶろう","B","L","4/29/1917","1917"
"藤野 隆司","Takashi Fujino","14039","ふじ　たかし","R","R","4/6/1941","1941"
"藤野 良人","Yoshito Fujino","15212","ふじの　よしと","R","R","10/25/1926","1926"
"藤立 次郎","Jiro Fujitate","10776","ふじたて　じろう","R","R","6/22/1971","1971"
"藤浪 光雄","Mitsuo Fujinami","16098","ふじなみ　みつお","R","R","02/11/1911","1911"
"藤浪 晋太郎","Shintaro Fujinami","15478","ふじなみ・しんたろう","R","R","4/12/1994","1994"
"藤澤 亨明","Komei Fujisawa","15336","ふじさわ・こうめい","L","R","11/11/1989","1989"
"藤澤 拓斗","Takuto Fujisawa","15743","ふじさわ　たくと","L","R","5/27/1990","1990"
"藤﨑 紘範","Hironori Fujisaki","11268","ふじさき　ひろのり","R","R","5/21/1980","1980"
"堂上 剛裕","Takehiro Donoue","11820","どのうえ　たけひろ","L","R","5/27/1985","1985"
"堂上 照","Terushi Donoue","417","どのうえ てらし","R","R","6/9/1951","1951"
"堂上 直倫","Naomichi Donoue","12156","どのうえ　なおみち","R","R","9/23/1988","1988"
"堂上 隼人","Hayato Doue","12702","どううえ・はやと","R","R","3/12/1982","1982"
"堂林 翔太","Shota Dobayashi","12860","どうばやし　しょうた","R","R","8/17/1991","1991"
"道原 裕幸","Hiroyuki Michihara","9475","みちはら ひろゆき","R","R","5/30/1949","1949"
"鴇田 忠夫","Tadao Tokita","14069","ときた　ただお","L","R","7/7/1945","1945"
"得津 高宏","Takahiro Tokutsu","13147","とくつ たかひろ","L","L","4/12/1947","1947"
"徳永 喜久夫","Kikuo Tokunaga","14615","","R","R","9/1/1931","1931"
"徳久 利明","Toshiaki Tokuhisa","293","とくなが　としあき","R","R","12/8/1942","1942"
"徳元 敏","Satoshi Tokumoto","11258","とくもと　さとし","L","R","9/20/1976","1976"
"徳山 武陽","Takeaki Tokuyama","15318","とくやま・たけあき","B","R","7/21/1989","1989"
"徳山 文宗","Fumimine Tokuyama","13094","とくやま ふみむね","L","L","11/14/1954","1954"
"徳田 吉成","Yoshinari Tokuda","10601","","R","R","1/6/1970","1970"
"徳島 忠彦","Tadahiko Tokushima","16046","とくしま　ただひこ","R","R","","1916"
"徳武 定之","Sadayuki Tokutake","13347","とくたけ さだゆき","R","R","6/9/1938","1938"
"徳本 政敬","Masanori Tokumoto","10602","","R","R","6/22/1973","1973"
"徳網 茂","Shigeru Tokuami","14303","","R","R","3/30/1924","1924"
"毒島 章一","Shoichi Busujima","22","ぶすじま　しょういち","L","R","1/14/1936","1936"
"苫米地 鉄人","Tetsuto Tomabechi","11342","とまべち　てつと","R","R","9/22/1981","1981"
"頓田 国満","Kunimitsu Tonda","9753","とんだ　くにみつ","R","R","7/6/1964","1964"
"奈部川 勉"," ","14659","","R","R","11/10/1968","1968"
"奈良 将史","Masashi Nara","11360","なら　まさし","R","R","5/17/1977","1977"
"奈良 不二也","Fujiya Nara","14733","","R","R","8/6/1931","1931"
"奈良 友夫","Tomoo Nara","16202","なら　ともお","R","R","06/20/1917","1917"
"奈良原 浩","Hiroshi Narahara","10646","ならはら　ひろし","R","R","5/16/1968","1968"
"那須 静雄","Shizuo Nasu","14423","なす　しずお","R","R","9/7/1939","1939"
"那須野 巧","Takumi Nasuno","11903","なすの　たくみ","L","L","10/4/1982","1982"
"内 竜也","Tatsuya Uchi","11836","","R","R","7/13/1985","1985"
"内薗 直樹","Naoki Uchizono","11319","うちぞの　なおき","R","R","5/14/1974","1974"
"内海 五十雄","Izou Utsumi","16137","うつみ　いぞう","R","R","02/19/1914","1914"
"内海 哲也","Tetsuya Utsumi","11829","","L","L","4/29/1982","1982"
"内海 武彦","Takehiko Utsumi","14872","うつみ　たけひこ","R","R","1/25/1933","1933"
"内山 憲一","Kenichi Uchiyama","12613","うちやま けんいち","R","R","7/23/1967","1967"
"内山 正博","Masahiro Uchiyama","10127","うちやま まさひろ","R","R","9/25/1965","1965"
"内山 清","Kiyoshi Uchiyama","15054","","R","R","4/22/1927","1927"
"内山 智之","Tomoyuki Uchiyama","10126","うちやま　ともゆき","L","R","8/15/1968","1968"
"内山 雄介","Yusuke Uchiyama","12193","うちやま　ゆうすけ","R","R","8/21/1984","1984"
"内司 正弘","Masahiro Naiji","14798","","R","R","4/10/1933","1933"
"内匠 政博","Masahiro Takumi","10543","たくみ　まさひろ","L","L","2/24/1968","1968"
"内川 聖一","Seiichi Uchikawa","11479","うちかわ　せいいち","R","R","8/4/1982","1982"
"内村 賢介","Kensuke Uchimura","12459","うちむら・けんすけ","B","R","3/17/1986","1986"
"内田 強","Tsuyoshi Uchida","9947","うちだ つよし","R","R","5/27/1961","1961"
